fin_Company,Market Cap,Trailing P/E,Price/Book (mrq),Most Recent Quarter (mrq),Profit Margin,Op_Margin,ROA,ROE,Diluted EPS,Operating_CashFlow,Total Debt/Equity (mrq),PayoutRat,Stock Price,ESG
,,,,,,,,,,,,,,
JPMorgan Chase & Co. (JPM),483.33B,10.79,1.91,"Jun 29, 2021",37.18%,46.91%,1.39%,17.36%,14.99,-73.08B,N/A,24.02%,161.75,28
Berkshire Hathaway Inc. (BRK-A),646.37B,6.29,1.38,"Jun 29, 2021",40.51%,52.36%,10.05%,24.38%,"68,287.15",41.87B,24.07,0.00%,"429,715.00",
China Construction Bank Corporation (CICHY),181.51B,4.33,0.07,"Mar 30, 2021",48.10%,59.09%,0.98%,11.47%,3.30,739.59B,N/A,29.91%,14.28,
,,,,,,,,,,,,,,
Apple Inc. (AAPL),2.44T,28.88,38.01,"Jun 25, 2021",25.00%,28.79%,19.30%,127.13%,5.11,104.41B,210.78,16.31%,147.54,17
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Agricultural Bank of China Limited (ACGBY),155.23B,3.66,0.05,"Mar 30, 2021",43.80%,53.09%,0.80%,10.14%,2.28,-1.34T,N/A,30.87%,8.32,
,,,,,,,,,,,,,,
"Samsung Electronics Co., Ltd. (005930.KS)",502.52T,N/A,N/A,"Jun 30, 2021",12.52%,16.83%,7.30%,11.86%,N/A,64.55T,5.93,63.35%,"74,600.00",23
,,,,,,,,,,,,,,
Alphabet Inc. (GOOG),1.89T,30.83,7.99,"Jun 29, 2021",28.57%,28.45%,12.76%,28.29%,92.19,80.86B,11.83,0.00%,"2,842.46",
Bank of China Limited (BACHY),127.05B,3.60,0.05,"Mar 30, 2021",42.21%,54.62%,0.83%,9.71%,2.40,-879.23B,N/A,30.89%,8.64,
Bank of China Limited (BACHY),127.05B,3.60,0.05,"Mar 30, 2021",42.21%,54.62%,0.83%,9.71%,2.40,-879.23B,N/A,30.89%,8.64,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Walmart Inc. (WMT),412.9B,41.47,5.12,"Jul 30, 2021",1.78%,5.29%,7.86%,12.32%,3.55,29.54B,69.87,61.24%,147.35,28
,,,,,,,,,,,,,,
Verizon Communications Inc. (VZ),226.05B,11.31,3.07,"Jun 29, 2021",15.05%,24.51%,6.33%,29.52%,4.83,38.65B,239.66,51.97%,54.60,18
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ALLIANZ (ALV.TI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,198.94,
Comcast Corporation (CMCSA),270.79B,22.01,2.85,"Jun 29, 2021",11.44%,17.01%,4.27%,13.53%,2.68,25.63B,106.91,35.82%,59.00,19
"The Goldman Sachs Group, Inc. (GS)",139.02B,7.57,1.43,"Jun 29, 2021",36.58%,46.37%,1.60%,20.76%,54.46,66.23B,549.78,9.14%,412.41,28
SoftBank Corp. (SOBKY),62.64B,14.29,0.04,"Jun 29, 2021",9.09%,18.28%,5.49%,25.31%,0.93,1.27T,232.31,84.96%,13.33,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BNP Paribas SA (BNPQY),78.54B,8.66,0.68,"Jun 29, 2021",19.46%,27.39%,0.32%,7.19%,3.63,81.9B,N/A,18.00%,31.45,
,,,,,,,,,,,,,,
China Literature Limited (CHLLF),9.2B,N/A,0.55,"Jun 29, 2021",-1.10%,11.99%,3.27%,-0.66%,-0.02,999.34M,8.02,0.00%,9.00,
,,,,,,,,,,,,,,
Johnson & Johnson (JNJ),456.21B,26.05,6.56,"Jul 03, 2021",19.92%,25.98%,8.65%,26.81%,6.65,26.11B,48.12,61.50%,173.30,30
Sony Group Corporation (SONY),126.02B,11.73,0.02,"Jun 29, 2021",12.80%,11.10%,2.49%,20.09%,8.67,1.39T,39.02,5.82%,101.65,
,,,,,,,,,,,,,,
